Action, Timestamp
Read from Student CSV, 2021.05.12 16:52:32
Read from Professor CSV, 2021.05.12 16:52:32
Read from Subject CSV, 2021.05.12 16:52:32
Read from OptionalSubject CSV, 2021.05.12 16:52:32
Read from Group CSV, 2021.05.12 16:52:32
Read from Series CSV, 2021.05.12 16:52:32
Read from Curriculum CSV, 2021.05.12 16:52:32
Add Group to list, 2021.05.12 16:52:43
Write to Group CSV, 2021.05.12 16:52:43
Add Group to list, 2021.05.12 16:52:44
Write to Group CSV, 2021.05.12 16:52:44
Add Group to list, 2021.05.12 16:52:46
Write to Group CSV, 2021.05.12 16:52:46
Add Group to list, 2021.05.12 16:52:47
Write to Group CSV, 2021.05.12 16:52:47
Print Groups from list, 2021.05.12 16:52:53
Read from Student CSV, 2021.05.12 16:53:01
Read from Professor CSV, 2021.05.12 16:53:01
Read from Subject CSV, 2021.05.12 16:53:01
Read from OptionalSubject CSV, 2021.05.12 16:53:01
Read from Group CSV, 2021.05.12 16:53:01
Read from Series CSV, 2021.05.12 16:53:01
Read from Curriculum CSV, 2021.05.12 16:53:01
Print Groups from list, 2021.05.12 16:53:06
Read from Student CSV, 2021.05.12 16:54:03
Read from Professor CSV, 2021.05.12 16:54:03
Read from Subject CSV, 2021.05.12 16:54:03
Read from OptionalSubject CSV, 2021.05.12 16:54:03
Read from Group CSV, 2021.05.12 16:54:03
Read from Series CSV, 2021.05.12 16:54:03
Read from Curriculum CSV, 2021.05.12 16:54:03
Add Group to list, 2021.05.12 16:54:09
Write to Group CSV, 2021.05.12 16:54:09
Add Group to list, 2021.05.12 16:54:10
Write to Group CSV, 2021.05.12 16:54:10
Add Group to list, 2021.05.12 16:54:11
Write to Group CSV, 2021.05.12 16:54:11
Rollback onlineClassbook.csvFiles to the backup version, 2021.05.12 16:54:15
Read from Student CSV, 2021.05.12 16:54:15
Read from Professor CSV, 2021.05.12 16:54:15
Read from Subject CSV, 2021.05.12 16:54:15
Read from OptionalSubject CSV, 2021.05.12 16:54:15
Read from Group CSV, 2021.05.12 16:54:15
Read from Series CSV, 2021.05.12 16:54:15
Read from Curriculum CSV, 2021.05.12 16:54:15
Add Group to list, 2021.05.12 16:54:18
Write to Group CSV, 2021.05.12 16:54:18
Print Groups from list, 2021.05.12 16:54:23
Read from Student CSV, 2021.05.12 18:03:26
Read from Professor CSV, 2021.05.12 18:03:26
Read from Subject CSV, 2021.05.12 18:03:26
Read from OptionalSubject CSV, 2021.05.12 18:03:26
Read from Group CSV, 2021.05.12 18:03:26
Read from Series CSV, 2021.05.12 18:03:26
Read from Curriculum CSV, 2021.05.12 18:03:26
Rollback onlineClassbook.csvFiles to the backup version, 2021.05.12 18:03:30
Read from Student CSV, 2021.05.12 18:03:30
Read from Professor CSV, 2021.05.12 18:03:30
Read from Subject CSV, 2021.05.12 18:03:30
Read from OptionalSubject CSV, 2021.05.12 18:03:30
Read from Group CSV, 2021.05.12 18:03:30
Read from Series CSV, 2021.05.12 18:03:30
Read from Curriculum CSV, 2021.05.12 18:03:30
Read from Student CSV, 2021.05.22 20:17:56
Read from Professor CSV, 2021.05.22 20:17:56
Read from Subject CSV, 2021.05.22 20:17:56
Read from OptionalSubject CSV, 2021.05.22 20:17:56
Read from Group CSV, 2021.05.22 20:17:56
Read from Series CSV, 2021.05.22 20:17:56
Read from Curriculum CSV, 2021.05.22 20:17:56
Add Group to list, 2021.05.22 20:18:05
Read from Student CSV, 2021.05.22 20:18:52
Read from Professor CSV, 2021.05.22 20:18:52
Read from Subject CSV, 2021.05.22 20:18:52
Read from OptionalSubject CSV, 2021.05.22 20:18:52
Read from Group CSV, 2021.05.22 20:18:52
Read from Series CSV, 2021.05.22 20:18:52
Read from Curriculum CSV, 2021.05.22 20:18:52
Add Group to list, 2021.05.22 20:18:56
Write to Group CSV, 2021.05.22 20:18:56
Add Group to list, 2021.05.22 20:18:57
Write to Group CSV, 2021.05.22 20:18:57
Add Group to list, 2021.05.22 20:18:59
Write to Group CSV, 2021.05.22 20:18:59
Print Groups from list, 2021.05.22 20:19:03
Add Group to list, 2021.05.22 20:19:20
Write to Group CSV, 2021.05.22 20:19:20
Add Group to list, 2021.05.22 20:19:21
Write to Group CSV, 2021.05.22 20:19:21
Add Group to list, 2021.05.22 20:19:24
Write to Group CSV, 2021.05.22 20:19:24
Print Groups from list, 2021.05.22 20:19:30
